service_id,date,exception_type
1234567-MSHDF17_ST6_17_HI2324,20240609,1
1234567-MSHDF17_ST6_17_HI2324,20240616,1
1234567-MSHDF17_ST6_17_HI2324,20240623,1
1234567-MSHDF17_ST6_17_HI2324,20240630,1
1234567-MSHDF17_ST6_17_HI2324,20240707,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240604,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240606,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240607,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240610,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240611,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240613,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240614,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240605,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,20240612,1
12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,20240624,1
12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,20240625,1
12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,20240627,1
