route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
14,28009096,"Grenoble, Verdun - Préfecture",12345-MAHLV01_ST0_1_HI2324-MAHLV02_ST0_2_HI2324,0,SEM_14_5,1,2
84,28665038,"Saint-Martin-d'Hères, Condillac - Universités",123456*-MGILV31_ST0_31_ET2024,0,,1,2
A,28479604,"Le Pont-de-Claix, L'Etoile",12345-MEILV28_ST21_28_ET2024,0,SEM_A_3,1,2
1,27788493,"Grenoble, Cité Jean Macé",1234567-MSHSAH17_ST5_17_HI2324,1,SEM_C1_1,1,2
E,28386044,"Fontanil-Cornillon, Palluel",1234567-MGHS05_ST5_5_HI2324,1,SEM_E_5,1,2
A,28479481,"Fontaine, La Poya",12345-MEILV28_ST21_28_ET2024,1,SEM_A_4,1,2
4,28146315,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,1,SEM_C4_2,1,2
6,27972146,"Grenoble, Oxford",12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,0,SEM_C6_2,1,2
13,28797319,"Meylan, Lycée du Grésivaudan",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,1,SEM_13_2,1,2
83,28664217,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGES01_ST5_1_ET2024,0,,1,2
13,28797732,"Poisat, Cimetière Intercommunal",1234567-MEHS09_ST5_9_HI2324,0,,1,2
84,28665028,"Saint-Martin-d'Hères, Condillac - Universités",123456*-MGILV31_ST0_31_ET2024,0,,1,2
4,28245900,"Eybens, Le Verderet",12345-MEHLV14_ST8_14_HI2324-MEHW14_ST11_14_HI2324,0,SEM_C4_1,1,2
59,28018055,"Gières, Le Chamandier",12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,1,SEM_59_2,1,2
59,28018058,"Gières, Le Chamandier",12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,1,SEM_59_2,1,2
19,27971779,"Sassenage, L'Ovalie",12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,1,SEM_19_2,1,2
E,28385135,"Gières, Plaine des Sports",1234567-MGHD06_ST6_6_HI2324,0,,1,2
16,28057031,"Le Pont-de-Claix, Gendarmerie",123456*-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,1,SEM_16_2,1,2
42,28018632,"Meylan, La Détourbe",12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,1,SEM_42_3,1,2
84,28665099,"Saint-Martin-d'Hères, Etienne Grappe",123456*-MGILV31_ST0_31_ET2024,1,,1,2
E,28395234,"Grenoble, Louise Michel",1234567-MGES01_ST5_1_ET2024,0,SEM_E_2,1,2
C,28378256,"Seyssins, Le Prisme",12345-MGHLV30_ST0_30_HI2324-MGHLV31_ST0_31_HI2324-MGHLV32_ST0_32_HI2324,1,SEM_C_2,1,2
E,28670160,"Grenoble, Grand'place",12345-MGILV31_ST0_31_ET2024,0,,1,2
C,28377645,"Grenoble, Flandrin - Valmy",1234567-MGHS05_ST5_5_HI2324-MGHS06_ST5_6_HI2324,0,SEM_C_1,1,2
4,28166995,"Eybens, Le Verderet",1234567-MEHS09_ST5_9_HI2324,0,SEM_C4_1,1,2
54,27933548,"Grenoble, Oxford",12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,0,SEM_54_1,1,2
B,28570444,"Gières, Plaine des Sports",12345-MGHLV30_ST0_30_HI2324,0,SEM_B_1,1,2
6,28317089,"Saint-Martin-d'Hères, Henri Wallon",12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,1,SEM_C6_1,1,2
A,27985477,"Fontaine, La Poya",1234567-MEHS09_ST5_9_HI2324,1,SEM_A_4,1,2
7,27973396,"Échirolles, Comboire",12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,1,SEM_C7_2,1,2
B,28564834,"La Tronche, Grand Sablon",12345-MGILV31_ST0_31_ET2024,0,SEM_B_1,1,2
3,28167022,"Grenoble, Victor Hugo",1234567-MEHS09_ST5_9_HI2324,0,SEM_C3_1,1,2
82,28637635,"La Tronche, Grand Sablon",12345-MGILV31_ST0_31_ET2024,1,,1,2
83,28629627,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGHS05_ST5_5_HI2324-MGHS06_ST5_6_HI2324,0,,1,2
E,28384232,"Fontanil-Cornillon, Palluel",12345-MGHLV30_ST0_30_HI2324-MGHLV32_ST0_32_HI2324,1,SEM_E_1,1,2
63,28018461,"Saint-Égrève, Saint Egrève Gare",12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,0,SEM_63_2,1,2
84,28665008,"Saint-Martin-d'Hères, Condillac - Universités",123456*-MGILV31_ST0_31_ET2024,0,,1,2
14,28008368,"Grenoble, Verdun - Préfecture",1234567-MAHS02_ST5_2_HI2324-MAHS03_ST5_3_HI2324,0,SEM_14_5,1,2
B,28565647,"Grenoble, Oxford",1234567-MGES01_ST5_1_ET2024,1,SEM_B_2,1,2
84,28668620,"Saint-Martin-d'Hères, Etienne Grappe",123456*-MGHLV30_ST0_30_HI2324-MGHLV31_ST0_31_HI2324-MGHLV32_ST0_32_HI2324,1,,1,2
16,28056960,"Le Pont-de-Claix, Gendarmerie",123456*-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,1,SEM_16_2,1,2
4,28166946,"Grenoble, Victor Hugo",1234567-MEHS09_ST5_9_HI2324,1,SEM_C4_2,1,2
6,27972140,"Grenoble, Oxford",12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,0,SEM_C6_2,1,2
21,28019086,"Seyssins, Le Prisme",12345-MFHLV29_ST0_29_HI2324,1,SEM_21_2,1,2
3,28245796,"Grenoble, Victor Hugo",12345-MEHLV14_ST8_14_HI2324-MEHW14_ST11_14_HI2324,0,SEM_C3_1,1,2
16,27810336,"Meylan, Lycée du Grésivaudan",12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,0,SEM_16_1,1,2
16,27818416,"Corenc, Montfleury",1234567-MSHSAH17_ST5_17_HI2324,0,SEM_16_1,1,2
B,28820202,"Grenoble, Oxford",12345-MGHLV31_ST0_31_HI2324,1,SEM_B_2,1,2
4,28166882,"Grenoble, Victor Hugo",1234567-MEHS09_ST5_9_HI2324,1,SEM_C4_2,1,2
2,28030158,"Grenoble, Louise Michel",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,1,SEM_C2_1,1,2
4,28146338,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,1,SEM_C4_2,1,2
12,27986103,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS09_ST5_9_HI2324,1,SEM_12_1,1,2
7,27973424,"Échirolles, Comboire",12345-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,1,SEM_C7_2,1,2
1,28282345,"Montbonnot-Saint-Martin, Pré de l'Eau",12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,0,SEM_C1_6,1,2
4,28166997,"Eybens, Le Verderet",1234567-MEHS09_ST5_9_HI2324,0,SEM_C4_1,1,2
4,28146102,"Eybens, Le Verderet",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,0,SEM_C4_1,1,2
1,27788771,"Grenoble, Cité Jean Macé",1234567-MSHDF17_ST6_17_HI2324,1,SEM_C1_1,1,2
3,28245729,"Échirolles, Centre du graphisme",12345-MEHLV14_ST8_14_HI2324-MEHW14_ST11_14_HI2324,1,SEM_C3_2,1,2
6,27785297,"Grenoble, Oxford",1234567-MSHSAH17_ST5_17_HI2324,0,SEM_C6_2,1,2
15,28049531,"Domène, Les Arnauds",12345-MAHLV01_ST0_1_HI2324,0,SEM_15_6,1,2
6,27785206,"Grenoble, Oxford",1234567-MSHSAH17_ST5_17_HI2324,0,SEM_C6_2,1,2
E,28384383,"Fontanil-Cornillon, Palluel",12345-MGHLV30_ST0_30_HI2324-MGHLV32_ST0_32_HI2324,1,SEM_E_5,1,2
42,28019336,"Meylan, La Détourbe",1234567-MFHD06_ST6_6_HI2324-MFHD10_ST6_10_HI2324,1,SEM_42_1,1,2
E,28384058,"Fontanil-Cornillon, Palluel",12345-MGHLV30_ST0_30_HI2324-MGHLV32_ST0_32_HI2324,1,SEM_E_1,1,2
3,28146711,"Grenoble, Victor Hugo",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,0,SEM_C3_1,1,2
A,27985557,"Fontaine, La Poya",1234567-MEHS09_ST5_9_HI2324,1,SEM_A_4,1,2
84,28639068,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGED01_ST6_1_ET2024,1,,1,2
84,28675991,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHD06_ST6_6_HI2324,1,,1,2
13,28804724,"Meylan, Lycée du Grésivaudan",12345-MEILV28_ST21_28_ET2024,1,SEM_13_2,1,2
83,28709183,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGHLV30_ST0_30_HI2324-MGHLV31_ST0_31_HI2324-MGHLV32_ST0_32_HI2324,0,,1,2
4,28146197,"Eybens, Le Verderet",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,0,SEM_C4_1,1,2
6,27785276,"Saint-Martin-d'Hères, Henri Wallon",1234567-MSHSAH17_ST5_17_HI2324,1,SEM_C6_1,1,2
3,28146269,"Échirolles, Centre du graphisme",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,1,SEM_C3_2,1,2
4,28480090,"Grenoble, Victor Hugo",12345-MEILV28_ST21_28_ET2024,1,SEM_C4_2,1,2
13,28804760,"Poisat, Cimetière Intercommunal",12345-MEILV28_ST21_28_ET2024,0,,1,2
19,27788286,"Sassenage, L'Ovalie",12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,1,SEM_19_2,1,2
82,28637717,"Gières, Gières Gare - Universités",12345-MGILV31_ST0_31_ET2024,0,,1,2
4,28146222,"Eybens, Le Verderet",12345-MEHLV13_ST8_13_HI2324-MEHW13_ST11_13_HI2324,0,SEM_C4_1,1,2
A,28504907,"Le Pont-de-Claix, L'Etoile",1234567-MEHD06_ST6_6_HI2324,0,SEM_A_3,1,2
6,28317016,"Grenoble, Oxford",12345-MSHLVH17_ST8_17_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW19_ST11_19_HI2324,0,SEM_C6_2,1,2
B,27954132,"Grenoble, Oxford",1234567-MGHS05_ST5_5_HI2324-MGHS06_ST5_6_HI2324,1,SEM_B_2,1,2
2,27984985,"Claix, Pont Rouge",1234567-MEHS09_ST5_9_HI2324,0,SEM_C2_2,1,2
B,28570545,"Gières, Plaine des Sports",12345-MGHLV30_ST0_30_HI2324,0,SEM_B_1,1,2
16,28056946,"Le Pont-de-Claix, Gendarmerie",123456*-MSHLVH10_ST8_10_HI2324-MSHLVH14_ST8_14_HI2324-MSHLVH18_ST8_18_HI2324-MSHLW10_ST11_10_HI2324-MSHLW14_ST11_14_HI2324-MSHLW18_ST11_18_HI2324,1,SEM_16_2,1,2
3,28479916,"Échirolles, Centre du graphisme",12345-MEILV28_ST21_28_ET2024,1,SEM_C3_2,1,2
3,28166806,"Grenoble, Victor Hugo",1234567-MEHS09_ST5_9_HI2324,0,SEM_C3_1,1,2
